word,size,eg,counter_eg,note
got,739,"I got a new app on my phone.
I got out of my first speeding ticket by pleading to the officer.
We got a new house and a car.
I got home from studying abroad.
My best friend got admission into one of the best B Schools.
My happy moment would be the day I got hired for a position.
The stock that I bought in March got doubled on April 24th after a merger news.
The event that made me most happy was when i got my first bike
I got engaged to my girlfriend.
I got to sleep in my own bed after several days of sleeping on a couch.","I got to spend time with my parents.|affection
I got drinks with some friends and one of the female friends was very flirty.|bonding
I shoveled the driveway before work and got some extra exercise.|exercise
My son got award of excellence this academic year.|affection
I got to see a friend I had not seen in a few weeks.|bonding",'got' is the top 1 frequently used word for achievement
work,611,"I snagged a block of delivery work for tomorrow.
I created a flyer for an business open house we are holding at work on Saturday. My boss loved it
I got off work five minutes earlier than i usually do, and my commute was perfect.
I got a bonus from my boss based on my performance at work.
I had a student write to thank me for my work with her in the last semester.
I purchased a Air Cooler for my Office to work with a cool mind
I got to catch up on all the backlog at work I've had over the weekend.
I was at work per usual and was told that I was going to receive a raise.
Being accepted to work on this Amazon site after being rejected a few months ago.
I won a raffle at work for a $50 gift card.","I helped my mom do work at her house and it made me happy to make her happy.|affection
My daughter, who is 2, said a complete sentence; ""Daddy, i missed you while you were at work!""|affection
My good friend was promoted at work.|bonding
I am amutha. my family is very intelligent and good work always.|affection
My husband got to come home from work 4 hours early and we spent the afternoon together.|affection",'work' is the top 2 frequently used word for achievement
happy,578,"I bought my own vehicle and around my home town it's make me happy
I was happy when I started to work on my school work early today.
I was happy when I turned in my thesis.
i was happy when i completed my 24 nan in a single semester.
Today, I am going to purchase new desktop system and thinking of that moment feels more happy.
I was happy when I began working online and actually making money.
I was happy because I was able to increase my savings this week.
I was happy when I won a local  basketball tournament.
I was happy when I got a good grade on my computer science test.
BEFORE I WEEK SO VERY HAPPY MOMENT FOR LIFE . BECAUSE PASSED IN TYPE WRITING EXAM.","It made me happy today to eat some cheese.|enjoy_the_moment
I was happy to meet some friends from my previous office.|bonding
so very happy|enjoy_the_moment
i was really happy when i heard from an old friend i hadn't talked to in a while.|bonding
Another event that made me happy was going to the farmers market.|enjoy_the_moment",'happy' is the top 3 frequently used word for achievement
new,516,"Buying a new microwave.
I bought a new phone
I bought a new professional grade mower.
I got a new cell phone.
I got a new phone for my birthday.
When i got my new car on february 23, 2017
I bought a new appliance for kitchen.
I began a new diet that I am taking very seriously.
Achieved a new fitness goal of mine.
I got a new stereo put in my car last month and it sounds great.","I got to see my mother in law's new dog.|affection
I received my new backpacking tent in the mail.|enjoy_the_moment
Visiting the top of the Empire State building on a trip to New York City.|enjoy_the_moment
The new season of one of my favorite shows is on Netflix.|leisure
Spent an afternoon with a new friend.|bonding",'new' is the top 4 frequently used word for achievement
made,430,"A customer complimented me at work which was nice and made my day.
The chicken I made for dinner last night was amazing.
I made 100 dollars this week on mturk which is my highest ever since starting.
I made a sale in my shop and earned some much needed money.
It made me happy that I was able to save money monthly after I switched Insurance companies
When I made a lot of money on amazon mechanical turk
I got a lot of currency in my video game, which made me really happy.
it made me happy when i finished my work early
An event that made me happy n the past 3 months is learning how to ride a motorcycle.
Made more than my $2 goal for mechanical turk.","Last day , my club bar made a party with Top 1 DJ and many girls. music and girls made me crazy|enjoy_the_moment
A day at a museum with my son made me happy.|affection
Another event that made me happy within the past three months is a big sale at the grocery store|enjoy_the_moment
I exercised at today morning it made me happy.|exercise
Rereading a book I had enjoyed in the past made me a bit happy for a few minutes.|enjoy_the_moment",'made' is the top 5 frequently used word for achievement
able,332,"I was able to go one more day of soberness since quitting a week ago yesterday
i was able to max out my deliveries today.
The prospect that I will be able to, in just 2 days, make my rent on AMZN M-Turk
I was able to put extra money in my savings account.
Recently I was able to repair my car on my own without any cost!
I was able to fix up the front of my new home all by myself.
actually being able to complete the hit
I was able to help a customer at work and they told me thank you, I felt appreciated.
I was able to win a playoff game in my Dota 2 tournament.
I was able to get to work on time even though I woke up late.","I got te eat at one of my favorite resturants that I havent been able to in a long time.|enjoy_the_moment
I was able to spend the evening with a good friend over the internet.|bonding
I was able to buy some very popular shoes for a friend.|bonding
I was able to throw a party with some friends that was fun|bonding
I was happy that I was able to find the time to catch up on Mad Men last night.|leisure",'able' is the top 6 frequently used word for achievement
job,306,"Leaving my job to pursue freelance graphic design.
I finished a project at my current job within a week
I was miserable in my previous job and getting a new job after a long search made me really happy.
I got a new job working in the field I want
I found out yesterday that I am getting a raise at my job and it is a pretty significant raise.
My girlfriend told me that she got the job she applied for
I made over $30.00 today at my job taking pizzahut orders
I just found out I got the job I wanted!
I got a new job offer which offered me a lot more money
I bought a new car for my new job, a 2014 Ford Focus.","My wife got a job at her preferred firm|affection
I got to help my little brother get his first job.|affection
I came home and my mom had made my favorite type of pizza to celebrate my good work at my job.|affection
I became Facebook friends with a coworker I like who is leaving her job.|bonding
MY DAD GOT JOB OPPORTUNITY IN FOREIGN COUNTRY SO I FELT VERY HAPPY FOR HIM.|affection",'job' is the top 7 frequently used word for achievement
time,255,"I beat my record time for finishing a 3 mile run.
I was able to complete a very difficult project on time and within budget.
I found a book that I had boxed up a long time ago that I needed to return to my administration.
I got hired in my new part time job as a cashier.
I went to an improv class for the first time.
I thought I was going to be late to work but I made it in on time.
Last month I have achieved my target in my job much before the stipulated time.
I did well on a test that I spent a long time preparing for.
I made a cake for the first time and it came out perfectly
The past month I managed to drive a manual transmission vehicle for the first time","My granddaughter first tooth was growing out for the first time.|affection
It was nice to be able to have some time to myself to catch up  on my Bible reading.|leisure
I got to sit at home and spend time with my family.|affection
I spent time with my aunt, she made a terrific pizza for us.|affection
Last night I went out to a club with friends and spend a great time and I was really happy.|bonding",'time' is the top 8 frequently used word for achievement
finally,250,"My computer problem was finally fixed.
I finally managed to organize some dime store like items I had.
I had a mysterious illness and after becoming increasingly frustrated, i finally got a diagnosis.
I was finally able to pay my car loan off.
I put a new inner tube on my bike tire and it's finally working correctly.
I finally finished the sanding and scraping of paint on my front deck.
I finally got paid yesterday and paid off my big bills for the month.
I finally made a proper loaf of pumpernickel bread.
I finally got my DNA results back from 23andMe.com.
I finally prepared documents required for my business.","I finally decorated my son's room for his birthday.|affection
Me and my husband finally got a new garage.|affection
My daughter finally feels better after having bad cold.|affection
My mother finally decided she wanted to take a vacation to Washington.|affection
When my dog finally learned to shake on command.|affection",'finally' is the top 9 frequently used word for achievement
last,221,"I've made a good bit of money in the last week in my part-time job.
I got a bonus from my job for my level of performance over the last quarter.
I got bonus from my boss for my work appreciation in last week as a cash payment.
I made a 100 on my test last week
Last night i received the masters qualification on mturk.
Last month I have achieved my target in my job much before the stipulated time.
I did not get hungover after drinking last night
My boss congratulated me for the performance I had shown on last two projects.
I lost 1 lb since my last weigh in.
I lost 15 pounds in the last 3 months and that makes me happy.","Last week my two year old looked up at me and said, ""I wuv you"" for the first time.|affection
I was happy when I baked a carrot cake last week for my girlfriend.|affection
In the last 3 months I was happy that my bedroom was finally completed.|enjoy_the_moment
I went to a buffet restaurant last week. The food was extremely delicious. I ate and I ate.|enjoy_the_moment
I was happy when my girlfriend surprised me with a cake last week.|affection",'last' is the top 10 frequently used word for achievement
