word,size,eg,counter_eg,note
happy,1036,"Playing softball with my niece today made me happy.
Seeing how happy my mother was on Mother's Day with the flowers I bought her.
My husband bought chocolate for me today and that made me happy.
I was happy when I baked some brownie cookies for my girlfriend earlier this morning.
I was happy when I found out my child was doing well in school.
I was made happy in the last twenty four hours when my spouse gave me a bunch of kisses.
I played with my dogs last night, which is something that always makes me happy.
My babys first doctors appoint today made me very happy that he is healthy.
I was happy when I talked to my dad and he said everything was going to be ok.
My little girl won in a drawing competition and it made me happy","The second thing that made me happy was that i won a football match with my friends.|bonding
We bought a car two months before and it made me very happy.|achievement
passing my finals has also made me very happy|achievement
Going to church makes me happy, it's hard to get myself there but once i go, i feel good.|enjoy_the_moment
Having a good sales day at work made me happy.|achievement",'happy' is the top 1 frequently used word for affection
made,590,"Walking my dog this morning made me happy.
My son made the honor roll in school .
The day my son was born made me very happy.
Flying home to see my family made me happy.
Hanging out with my boyfriend made me happy.
Having a romantic picnic with my girlfriend a couple of weeks ago made me very happy.
My kids made me wonderful cards for Mother's Day.
My wife told a joke that made me laugh.
I made dinner for my mom.
My husband bought my favourite sweet that really made me very happy","I made some decent progress on my programming project|achievement
I made a fantastic sandwich yesterday.|achievement
I made over $30.00 today at my job taking pizzahut orders|achievement
I ran into an old friend on the train this morning and we cauhgt up and made plans to hang out!|bonding
Talking to someone important on the phone made me very happy.|enjoy_the_moment",'made' is the top 2 frequently used word for affection
family,556,"I got to eat a delicious home-cooked meal with my family.
Enjoyed Easter with my family.
Went back to my hometown for a few days and spent quality time with my family
I made some plans for holiday weekend with family.
I had tacos for dinner with my family and didn't have to cook.
when my family ready for party
I received flowers and cards with well wishes from friends and family after my surgery.
I cooked dinner for my entire family.
I AM GOING TO THEATER WITH MY FAMILY MEMBERS ITS A  VERY HAPPINESS IN MY LIFE
Going home to see my family after being gone for college.","I came home from my study abroad program to family and friends that I missed.|bonding
I had a birthday and celebrated it with my friends and family by going out.|bonding
A childhood friend came back from North Carolina to visit family|bonding
I watched a movie along with my friends and family.|bonding
I purchased on 55 inches LED tv, It makes me and my family happy.It's a long term wish for us.|achievement",'family' is the top 3 frequently used word for affection
time,546,"Making love to my wife before work yesterday at about this time.
I spent time with my kids at the park.
I spoke to my niece for the first time in a few weeks and was able to catch up with her.
Yesterday my 1 year old son starting walking for the first time.
Spending some quality time with family after not seeing them for a while
My father, who I care for full time, was able to get out of bed today and walk for ten minutes.
I returned home from college for the first time in several months to my dog and family.
I spent time with my mom; we worked out and then chatted in a sauna for over an hour.
Teaching my dog how to jump off of my bed when I tell him it is time for sleep.
I spent time with family that I haven't seen in a while.","I completed one of my work projects in good time.|achievement
My friend came over and we both had a great time playing a game.|bonding
Seeing the ultrasound for the first time made me very happy.|enjoy_the_moment
Getting my first fare with Lyft. I'm low on money right now and I only have a part time job.|achievement
Putting money into my new savings account for the first time, EVER!|achievement",'time' is the top 4 frequently used word for affection
day,495,"I was thrilled the day my mother signed over her car to me.  No more public transportation!
My girlfriend made my favorite meal when I was having a bad day.
The day i received my children's report cards
My wife was happy with everything she got for Mothers Day.
I went on a day trip with my wife to a nice beach.
I spent the day touring Maymont park with my son and his family
I was happy to host a Mother's Day party at work and bake goodies for my clients.
Seeing how happy my mother was on Mother's Day with the flowers I bought her.
I was able to drive down and spend the day with my grandma who I haven't seen in over a year.
The day my brother spoke to me after a long period","I went to see Green Day in concert.|leisure
Went for a walk around the lake on what turned out to be a beautiful day.|nature
Cracking open a fresh beer after a long day at work.|leisure
I had a good day at work and finally finished everything.|achievement
I've managed to consistently do cardio workouts every other day.|exercise",'day' is the top 5 frequently used word for affection
went,470,"I went out for a nice dinner with my wife and another couple.
WENT TO MOVIE WITH WITH MY FAMILY ENJOYED A LOT
I went to dogsit my favorite pups last weeks. I am always happy to see them.
My wife and I went to a Disney World
I went to go see my parents for dinner tonight after work.
I met a girl at work and went on a date with her that night.
I went to dinner with my wife and our friends at a nice restaurant
I went on a brewery bus with my wife and some friends and visited 4 breweries around Indianapolis.
My kids went to bed without a fight tonight.
I went hiking with my family yesterday.","We went to  theater and watch a comedy film.|leisure
A short film script I wrote went into production.|achievement
I went to class and participated in a good discussion with my classmates.|bonding
I went for a 3.5 mile run through the park on a sunny day.|exercise
i went to movie|leisure",'went' is the top 6 frequently used word for affection
got,436,"I got to eat some great food from my mom that I hadn't had in awhile
I got a text some someone saying they had been thinking about me and hoped I was doing well.
My wife got to take a nap in the middle of the day, which she really deserved.
My brother got engaged to his girlfriend
I got a blowjob from this girl at work in the parking lot.
I got to go on a date with my husband.
when my nephew got celebrate his birthday
My brother called to tell me that he got engaged to his girlfriend.
My dog's health got better after medication.
I got to see my father who I hadnt seen in years.","I sold my motorcycle and got 2 thousand dollars for it which is a lot|achievement
I got free newborn clothes from my neighbor.|bonding
I wen to Starbuck in the morning and got a very delicious latte that made my day.|enjoy_the_moment
i got praise from my boss for doing well at my job.|achievement
I got a chance to buy Lady Gaga tickets.|leisure",'got' is the top 7 frequently used word for affection
son,430,"I got a hug from my son.
My son got me a cake on my anniversary it was very sweet of him
It made me happy when my infant son used baby sign language for the first time.
my son is almost sleep so I can have some peace
My son turned two and we held a small party, he enjoyed it and the gifts we got him very much.
My son and daughter n law made dinner for my husband and I on our wedding anniversary.
I purchased some hotwheels tracks on sale for my son.
When I had lunch with my son
I went out for a bike ride with my son.
My son learned to wave.","My son found a job after looking for months.|achievement
My son got a glowing review on his day at preschool.|achievement
My son received a really good progress report from school.|achievement
My son has started speaking complete sentences for the first time.|achievement
My son graduated from preschool.|achievement",'son' is the top 8 frequently used word for affection
wife,397,"My wife and I played darts.
My wife, daughter and I went to Seattle for a daytrip.
My wife and I booked a hotel for next week for a couple night getaway.
My wife cooked dinner.  She hates cooking, I normally do it.  She is a good cook however.
I sang songs to my wife and was satisfied with her satisfaction.
Went to the grocery store to purchase lamb chops which I cooked for my wife and myself for dinner.
My wife and I went to the top of a building nearby to watch the sunset.
When me and my wife shared pleasures. Both of us were very happy.
My wife cooked lunch for me.
My wife was happy with everything she got for Mothers Day.","My wife and I bought a new car.|achievement
My wife got a raise at her job that was substantial|achievement
Me and my wife finished a puzzle we have been working on for over a week.|achievement
My wife received a clean bill of health from the doctor.|achievement
My wife fit into a size 12 pants today! She has not fit into that size since high school.|achievement",'wife' is the top 9 frequently used word for affection
daughter,380,"I was able to get to bed really early after my daughter had fallen asleep.
Last night my daughter had solid food for the first time.
My daughter received an academic award at school!
I had lunch with my wife and daughter at my favorite Mexican restaurant.
I was happy that my daughter won a contest.
My daughter made student of the month in school after struggling with her grades.
I was happy when I read my daughter a bedtime story.
I kicked the soccer ball around in the backyard with my daughter
My wife, daughter, and I went to a water park last weekend.
I visited my daughter & granddaughters in New York.","My friend's daughter arrived in town to help her with her oncology appointment.|bonding
My best friend's one year old daughter started walking and I got to see it for the first time.|bonding
MY DAUGHTER GOT GOOD NAME FROM NAME FROM HER LAWS.REALLY A UNFORGETTABLE MOMENT.|achievement
My daughter started to pedal herself on her tricycle.|achievement
My daughter begun saying please and thank you.|achievement",'daughter' is the top 10 frequently used word for affection
