word,size,eg,counter_eg,note
friend,761,"Seeing a friend I hadn't seen in a long time
I am planned a trip to Europe to see a friend I haven't seen for two years.
I was very happy to receive a Mothers Day card from a very good friend.
a friend of mine gave me all the furniture i needed for free because he was moving
My friend decided to pay for our dinner at Red Robin.
I caught up with my friend, Walter, before he went back to California.
I visited my friend at her new workplace.
I met one of my old friend and talk many matters.
I was able to see my friend before he went off on a cruise ship.
I called an old friend and talked for a while","MY BOY FRIEND LOVE FEELING|affection
My daughter made a new friend in our neighborhood and I was introduced to her parents.|affection
I went jogging with a friend.|exercise
Long drive with my girl friend|affection
I finished crocheting a cute jellyfish doll for my friend.|achievement",'friend' is the top 1 frequently used word for bonding
friends,587,"Enjoyed a visit at work with some friends that I have not seen in almost a year.
I met some high school friends.
I hung out with my close friends in MN
Meeting up with some older friends that I hadn't seen for a while.
I was asked to be a groomsmen in a friend's wedding.
I went to see a new movie with some friends.
I went for a movie with friends.
One of my best friends got married.
having party with friends
I went to a friend's wedding and saw them tie the knot.","BIRTHDAY PARTY CELEBRATES WITH MY BEST FRIENDS & FAMILY|affection
My friends elected me as the president of our arts club|achievement
Watching back to back episodes of Friends with my wife made me happy last night.|affection
I have celebrated my mom's birthday today with my family and friends and that made me very happy.|affection
I received flowers and cards with well wishes from friends and family after my surgery.|affection",'friends' is the top 2 frequently used word for bonding
went,232,"I went to a NFL game with my best friend.
I went to Hawaii with some friends last month.
A girl on tinder I went on a date with a few weeks ago wants to hang out again.
I recently went on a hike with my roommates.
I went on a week-long vacation to visit an old friend.
I went to a friend's wedding.
Today afternoon I went to a restaurant for lunch with my colleagues.  We had a nice meal.
I went on a road trip to Miami with some friends of mine and spent a few days there.
I went to a concert an hour away with a friend and we enjoyed the night together.
Went to the hardware store to pick up my new toilet.  The people helping me were friendly.","I went to see my 10-year old son's choir concert.|affection
Went to Shopping with my husband|affection
I went on a walk on a new trail with my wife.|affection
I went on a charter fishing trip with my father in Florida.|affection
I WENT TO KODAIKKANAL FOR OCCASION|leisure",'went' is the top 3 frequently used word for bonding
happy,211,"I was happy going on a trip to bangkok with my friend. We had fun.
YESTERDAY I SAW MY CHILDHOOD FRIEND AFTER A LONG TIME.SO I WAS SO HAPPY AND WE ENJOYED A LOT.
I met my friends new girlfriend that he seemed to be really happy about, which made me happy.
My friend took me out to eat for my birthday and that made me very happy.
I enjoyed happy hour with some coworkers at Dave and Busters after work.
4 DAYS BEFORE WE ARE CELEBRATING MY FRIEND BIRTHDAY..LOT OF FUN AND JOY MAKING MORE HAPPY...
I met with a few friends.  I was so happy to catch up with them and bond with them.
I met an old friend after many years and spend a good time together and I was happy.
This morning i met one of my best friend after a long time which made me very happy.
my friends are celebrating my birthday function. that made me happy. they present many gifts to me","One event that made me happy was when I gave my lunch to a homeless man in need.|enjoy_the_moment
I was happy when my rib pain stopped. I was in so much pain for the last 3 days.|achievement
Went to a museum with my family it was a happy moment|affection
I went to hospital for a full body check up and all the results were good and i am happy for that.|enjoy_the_moment
i woke up happy.|enjoy_the_moment",'happy' is the top 4 frequently used word for bonding
time,206,"Called a friend who was having a tough time to cheer them up.
I went boating at Tamales Bay with my two best friends and we had a wonderful time.
the long time ago i was meet my best friend. i was so happy that moment
I came home at the same time as my roommate.
I got a call from a old college friend after a long time.
I spent time with colleagues at a work conference and enjoyed evening activities.
I met my friend after a long time in a shopping mall.
I went to my friend's birthday celebration and had a great time catching up with him.
I ate breakfast out this morning with a colleague, and it was nice to catch and have time together.
3. I was able to spend some quality time with my friends.","I started trading small time stocks to begin learning.|achievement
I was happy when I was watching a movie with my kid and spending quality time together.|affection
I got to eat breakfast at my favorite cafe and it has been a long time.|enjoy_the_moment
I made a cake for the first time and it came out perfectly|achievement
We had a nice, sunny day, and I was able to spend some time outside.|nature",'time' is the top 5 frequently used word for bonding
got,184,"I got to see a friend that I have not seen in a very long time.
A friend got married.
I got my bff to stop yelling at me all the time because her boyfriend is a dick
I got to hang out with friends for a night.
I got a phone call from my friend.
I got free newborn clothes from my neighbor.
I got to see a baseball game with my sister and my two nephews today.
I got a message from my best friend whom i did not saw after graduation , she makes me happy.
I got to talk to an old friend.
I got an unexpected letter in my email from an old friend.","I got my dining room table cleaned off|achievement
Got new wireless headphones for my iPhone 7 Plus|achievement
I was able to take a long nap when I got home from work.|leisure
Got to see my mom who I haven't seen for over a year.|affection
I won a prize at work, and got a free Go Pro.|achievement",'got' is the top 6 frequently used word for bonding
old,166,"I ran into an old friend on the train this morning and we cauhgt up and made plans to hang out!
I made a new friend tonight while visiting an old friend.
I GOT A FRIEND TO HELP ME GET MY OLD JEEP RUNNING AGAIN AFTER 4 YEARS OF IT SITTING UP.
I met an old friend from school after a very long time.
My best friend's one year old daughter started walking and I got to see it for the first time.
Reconnecting with an old friend.
I scheduled plans to eat with an old roommate this weekend.
I met some old friends.
I randomly ran into an old friend I haven't seen in years.
I got to shoot bows with an old friend from high school one evening.","today i could sell a couple of old pants and i could buy some pot that made me happy|achievement
I felt happy yesterday when I was playing blocks with my two year old|affection
Helping my dad replace our old floor made me happy.|affection
I considered getting back into an old collecting hobby and it got me excited.|enjoy_the_moment
I am finally able to fit into my old clothes after dieting for 2 months.|achievement",'old' is the top 7 frequently used word for bonding
made,136,"I helped a friend out in need with childcare and that made me feel good that I could help her out.
I made a new friend tonight while visiting an old friend.
I made some noodles and they tasted very good. My friends said they taste just like the restaurant.
When I made an impromptu visit to my friend's house to watch a concert dvd.
I went to a kid's birthday party and I made a new (adult!) friend.
I made plans to see friends this weekend.
I made a new friend and we connected on our love of music and artistic styles.
A few weeks ago, I made a flight reservation to Tokyo, Japan to visit my friend this summer.
An event that made me happy in the past 3 months is going shopping with my friends.
Met a high school classmate , we talked a lot and it made me quite happy.","I got a paper back in class and my teacher made the comment that it was one of the best in class.|achievement
It made me happy when my brother gave me a bag of candy he had bought.|affection
I made our new house that we just bought look better by getting things put away.|achievement
I finished my daily work target and that moment made me feel happy.|enjoy_the_moment
I made a breakthrough on another project that my team has been working on for the past year or so.|achievement",'made' is the top 8 frequently used word for bonding
good,124,"This morning I got a good morning text from one of my close friends.
My good friend was promoted at work.
I attended the sweetest wedding of a former co-worker and good friend.
I played good video games with my close friends.
I met my good friends for a taco night.
Playing with my cat who has been sick but was having a good day.
My roommate cooked me my favorite dish, french toast, when I wasn't feeling so good.
A guy I have been seeing texted me to have a good day.
i was happy this morning when a good friend of mine texted me first thing.
I found a good spot for my base in a game with a friend.","I managed to find a good deal on my 3rd 27 inch monitor.|achievement
I finally got to watch Grey's Anatomy, and it was a good episode!|leisure
I came home and my mom had made my favorite type of pizza to celebrate my good work at my job.|affection
I spent a holiday with family and good friends for a wonderful fun day|affection
I worked out and lifted weights this morning and it felt good.|exercise",'good' is the top 9 frequently used word for bonding
best,119,"I went to a NFL game with my best friend.
I got to play a video game with one of my best friends.
I was a part of my best friend's wedding.
I planned a trip to California to visit my best friend.
MY  BEST FRIEND BIRTHDAY PARTY
My best friend booked her Holiday to fly from England to Cyprus to stay with me for 10 days .
Visit my best friend
My best out of town friend called to announce he is coming to visit in September.
Having a movie marathon of my favorite series with my best friend eating the best junk food.
MY BEST FRIEND MARRIAGE PARTY","I WENT FILM WITH FAMILY,I FEEL BEST MOMENT IN MY LIFE.|affection
My SO said I was the best boyfriend.|affection
I had a delicious multi-course meal, the best I have ever had.|enjoy_the_moment
BIRTHDAY PARTY CELEBRATES WITH MY BEST FRIENDS & FAMILY|affection
I baked cookies last week and someone told me they were the best they'd ever had.|achievement",'best' is the top 10 frequently used word for bonding
