word,size,eg,counter_eg,note
went,153,"I went to music class.
I was happy when I went to a baseball game
I WENT TO SHOPPING MALL
Went on a 5 day solo backpacking trip in South Carolina.
I went to Paris for vacation.
I WENT TO  TEMPLE.
I went for a trip.
I went out to my favorite restaurant.
I went to see Green Day in concert.
I went shopping","I went to visit my girlfriend who lives far away|affection
I went out driving with one of my friends|bonding
I went to dinner with my wife and our friends at a nice restaurant|affection
I went to dinner with my friends.|bonding
My friend and I went to lunch and talked about our college days.|bonding",'went' is the top 1 frequently used word for leisure
game,133,"I started playing a really fun game on my iPhone.
I bought the game Horizon Zero Dawn and was blown away by how beautiful it was.
I had some fun playing a good video game.
I reached a high level status in a competitive online game that i play every week.
A game came out that I enjoy playing.
I read up on the patch notes for my game.
I got to play a new video game last night uninterrupted for more than an hour.
I got a new game on my phone and really enjoy it
I received a better controller for my new video game system.
I nan a D&d game that turned out to be very fun.","I was able to coach my youngest son in his t-ball game.|affection
My daughter scored 2 goals at her Lacrosse game|affection
Last night I played in a board game tournament and won first place.|achievement
Purchased new video game.|achievement
I bought my ps4, got some money and i bought my new video game.|achievement",'game' is the top 2 frequently used word for leisure
watched,125,"Watched a new comedy special on Netflix for a favorite comedian of mine.
I watched a very exciting soccer match last week.
I watched a comedy program.
I watched the season finale of one of my favorite tv shows.
I watched The Masters golf tournament on television.
I took a day off and watched kdramas and had pizza.
I watched Breaking Bad.
I watched a cute video of a girl mistaking a water heater for a robot.
When I watched Guardians of the Galaxy 2.
Watched a bunch of Kendrick Lamar video's waiting for his new Album to come out tomorrow!","My three year old son and I watched a movie together, cuddled, and ate popcorn.|affection
I watched a DVD with my kids at their dance show.|affection
I took a walk in the park early this morning and watched the sun rise over the river.|nature
I watched my girlfriend's stepbrother at swim practice.|affection
I watched a family movie with my kids.|affection",'watched' is the top 3 frequently used word for leisure
new,115,"I WENT TO SAW  NEW RELEASE MOVIE.
I downloaded new music to my ipod for the first time in months.
A new game in the series I like got announced to be coming this year.
I had a quiet hour to start reading a new book that I'd been looking forward to beginning.
Getting new strings for my guitar.
I read brand new chapters of several manga that were released today.
I tried my new rollerblades in the park and they worked really well.
I discovered a new to me TV series to binge watch and still have at least a week's more viewing.
I bought a new controller (Red Gear) to play games on my laptop.
Started a new game that I have been waiting a long time to play.","I bought a new car!|achievement
I learned about a new was to search for volunteer work.|achievement
I was happy when I caught a new species of fish at my local creek last week.|achievement
I played with my friend's new puppy.|bonding
I toured the local area  on my motorcycle with a friend and new rider.|bonding",'new' is the top 4 frequently used word for leisure
favorite,109,"I WENT TO MY FAVORITE RESTAURANT AND HAD MY FAVORITE DISH
I drank a beer from my favorite brewery.
Going to a concert to see one of my favorite bands live.
I watched the season finale of one of my favorite tv shows.
Favorite show was on TV.
I watched a new episode of one of my favorite TV shows that went off the air over 25 years ago.
I went to Opening Day of baseball season and saw my favorite team win the game.
Another game in one of my favorite video game series was announced the other day.
I got caught up on my favorite podcast this week.
I got to binge-watch my favorite show on Netflix all night yesterday, and I indulged.","Eating fried chicken. It was from my favorite fast-food restaurant.|enjoy_the_moment
My wife wear her favorite saree for office meeting.|affection
I went to one of my favorite taco restaurants and ordered a new burrito on their menu.|enjoy_the_moment
when my mom made me my favorite meatball sphaghetti.|affection
Another event that made me happy was watching my favorite baseball team win.|enjoy_the_moment",'favorite' is the top 5 frequently used word for leisure
got,100,"I got off of work, it took quite a while.
I got caught up on my favorite podcast this week.
I got my favorite ice cream from the ice cream parlor
I got tickets to a concert of one of my favorite bands.
When I finally got to see guardians of the galaxy 2.
I got laid this morning why lie,
I got to play a new video game last night uninterrupted for more than an hour.
I had the house to myself for a few hours and got to relax.
I was happy because I got a new game for my Xbox
I got to sleep in uninterrupted one morning.","I got a new part time job.|achievement
I am so happy because my husband got promoted at work, seeing him excel is something I live for.|affection
I got a new phone for my birthday.|achievement
My sister has got delivered a male child made me very happy.|affection
It made me very happy when my son got accepted to an outstanding college.|affection",'got' is the top 6 frequently used word for leisure
movie,86,"Watched the ongoing blockbuster movie in theater
yesterday i watched latest movie beauty and the beast.
I watched a good movie last night before going to bed.
When I was finally able to watch the movie, Fallen.
I watched a really good movie a few hours ago
I went to movie. This movie was excellent which made me happy
I went to the cinema. And saw the movie Fast and Furious 8.
I streamed a movie online.
I went to the movie theater.
Finally seeing the Logan movie","Sometimes I go to my boyfriend's house to have dinner and watch tv or a movie.|affection
Saw a new movie in the theater (it has been years)|enjoy_the_moment
I hung out with some friends and watched the new Alien movie and enjoyed it a lot.|bonding
Hanging out with my girlfriend and watching a movie with her.|affection
I went for a movie with friends.|bonding",'movie' is the top 7 frequently used word for leisure
show,84,"I was able to watch my favorite show, which I hadn't had time for in a while.
Found out my favorite TV show is going to start in a month
I bought MLB 17 the Show for my PlayStation 4.
My favorite tv show is on tonight!!
Re-watched a favorite TV show.
Went to a comedy show.
I was happy to watch Master of None; it's a pretty good show.
I was able to watch a new episode of my favorite show
abc season end show will be good to watch
A new episode of a television show that I enjoy aired and I watched it.","I talked a friend in to watching my favorite tv show, Wentworth.|bonding
Last Saturday, I went to a local punk show with many of my friends in attendance.|bonding
My daughter said ""Blue's Clues"" which is her favorite show.|affection
My wife decided to start binge watching the office again, and i love that show.|affection
My favorite show came back on netflix|enjoy_the_moment",'show' is the top 8 frequently used word for leisure
happy,69,"Traveling to Alabama to visit a casino made me happy.
I went on a trip to Goa two months ago and I was happy.
I was happy when I went to a baseball game
I was happy to spend a day shopping by myself without the distraction of my kids
Another thing that made me happy is eating spaghetti and then having some chocolate chip cookies.
I went to movie. This movie was excellent which made me happy
Going to starbucks and drinking a latte made me happy.
Watching one of my favorite TV episodes made me happy.
I sat on the porch and read a book, which made me happy because I don't get to do that a lot.
One event that made me happy was when I was able to reach a certain threshold in my video game.","I was happy when the Mets came from behind to beat the Cubs.|enjoy_the_moment
i am very happy in mobile game and tv shows|enjoy_the_moment
While walking on roadside I got some money on the roadside, that moment make me feel happy.|enjoy_the_moment
Something that made me happy today was buying a new bed.|achievement
I AM SO HAPPY AND ENJOYING BECAUSE SPEND MY FAMILY MEMBERS.THAT MOMENT IS THE BEST|affection",'happy' is the top 9 frequently used word for leisure
video,64,"When I won in video game with my friends.
I received a better controller for my new video game system.
I got to play a new video game last night uninterrupted for more than an hour.
A video game I play had a new expansion come out.
I finished a very good video game.
I played video games.
I watched a funny video on Youtube.
I watched a YouTube video by the channel Cow Chop.
I watched a cute video of a girl mistaking a water heater for a robot.
When I completed a boss in Kingdom Hearts (Ursula II) video game.","I bought my ps4, got some money and i bought my new video game.|achievement
My best friend sent me a funny video via text message.|bonding
I got a lot of currency in my video game, which made me really happy.|achievement
I won a couple prizes in a video game.|achievement
I got a new video game.|achievement",'video' is the top 10 frequently used word for leisure
watching,64,"Watching my favorite anime shows
i am very happy in watching movie and playing cricket
when i watching the tv show i felt that i was all about my feelings got involved in the tv show
I am watching my favorite show.
Watching Futurama on Netflix
We got to check out Moana from the library, and quite enjoyed watching the movie a couple of times.
Watching NXT Takeover, and seeing Booby Roode defeat Shinskue Nakumara.
Watching my favorite TV show.
Watching the Yankees win their game
Watching a Phillies game.  They came back to win it in the 10th inning. It was exciting.","I spent a simple evening with my husband watching a TV show and caressing his hair while doing so.|affection
My girls and I are relaxing together and watching cartoons.|affection
Enjoyed watching basketball and eating pizza with my husband last night.|affection
I was watching an episode of crashing and I had a good laugh at one of the jokes on the episode.|enjoy_the_moment
I enjoyed watching mr bean animated series with my son.|affection",'watching' is the top 11 frequently used word for leisure
last,63,"I watched a very exciting soccer match last week.
Had two refreshing beers last night.
I went to a party at someone's house last night.
I completed a game that I had been working on for the last year on and off.
I watched a Blackhawks game last night.
I watched a good movie last night before going to bed.
Watching an episode Silicon Valley before falling asleep last night.
last month i spend my time travelling to three famous temples which made me  happy
Being able to sleep in on my last day of vacation.
I was able to get a lot of sleep last night.","Had a dinner party last night with all members of office.|bonding
My cat snuggled beside me last night when I was falling asleep and snored.|affection
Hanging out with friends all day last Saturday made me really happy as well.|bonding
My wife made a really good dinner last night|affection
Last night we celebrated my girlfriend's mom's birthday.|affection",'last' is the top 12 frequently used word for leisure
